SampleID	Initial_weight	inal_weight	Race	Mother	Mother_Race	ather	eed_version	Birth	Slaughter	Age(days)	CH4_daily_mean	CH4_ia	iae	Initial_Group	CH4_group	Biome	Diet	Sample_type	Ca mg/kg	e mg/kg	K mg/kg	Mg mg/kg	Mn mg/kg	Na mg/kg	P mg/kg	Zn mg/kg	CAR	CHR	GDP
514	268.5	361	NX	628	NI	12345	6.6	07/12/14	16/11/16	710	191.81	56.02	1.91	leve	Medium_high	Rumen	vencional	Rumen_vencional	5100	896	10.8	520	67	19.9	9.2	79.8	-0.5107803999	-1.67039997	
515	297	434.5	NX	1255	NI	3125	5.9	07/12/14	17/10/16	680	206.19	53.95	1.84	leve	High	Rumen	vencional	Rumen_vencional	3656	758	7.75	635	56.5	18.3	8	80.1	0.2959754938	-0.2831439357	
516	310	452.5	NX	1191	NI	2938	5.4	07/12/14	16/11/16	710	150.51	37.45	1.91	leve	Low	Rumen	produto	Rumen_produto	13071	3532	8.16	721	65.8	21	9.79	80.2	-0.4839488671	0.9080296874	
517	337	446.5	NX	209	NY	12345	8.5	14/12/14	17/10/16	673	156.89	32.16	1.84	pesado	Medium_low	Rumen	vencional	Rumen_vencional	8044	739	6.83	307	51.4	22.9	8.1	72.9	0.483946202	-0.7691929358	
520	278.5	411.5	NX	606	NI	67	4.5	18/12/14	17/10/16	669	201.08	34.17	1.84	leve	High	Rumen	produto	Rumen_produto	3053	713	9.06	349	40.5	25.1	9.12	70.2	-1.212927025	1.078426609	
521	328.5	450.5	NX	1200	NI	2971	4.3	20/12/14	17/10/16	667	152.2	68.05	1.84	pesado	Medium_low	Rumen	produto	Rumen_produto	5297	630	7.29	518	45.5	20.6	7.3	81.7	-1.402594681	0.9567199005	
523	255	393	NX	1262	NI	1029	5.9	24/12/14	16/11/16	693	176.48	40.73	1.91	leve	Medium_high	Rumen	vencional	Rumen_vencional	7474	12757	8.67	549	139.9	20.3	8.27	85.9	-0.05850522859	-0.5296095971	
1460	319	455	NI	825	NI	243	5.6	06/11/14	16/11/16	741	201.35	52.65	2	leve	High	Rumen	vencional	Rumen_vencional	2785	1417	6.63	4	41.7	20.5	7.7	72.6	-1.094748658	0.8058752308	
1462	340.5	464	NI	993	NI	452	7.7	09/11/14	17/10/16	708	120.64	39.55	1.91	pesado	Low	Rumen	produto	Rumen_produto	11358	3643	9.63	529	63.4	21.9	13	74.7	0.1235734526	0.5354857173	
1464	390	502	NI	827	NI	243	11.6	08/11/14	17/10/16	709	159.32	50.5	1.91	pesado	Medium_low	Rumen	produto	Rumen_produto	5222	1622	7.63	378	45.4	18.79	76	56.5	0.6197630694	0.1055714549	
1468	325	444	NI	961	NI	24	9.4	10/11/14	17/10/16	707	145.93	47.5	1.91	pesado	Low	Rumen	vencional	Rumen_vencional	4717	1453	6.74	285	37.9	27	7.9	54	1.46023774	-0.4084752018	
1476	357.5	455	NI	864	NI	185	9.1	15/11/14	17/10/16	702	129.03	56.04	1.91	pesado	Low	Rumen	vencional	Rumen_vencional	4303	1259	7.1	320	35	21.6	7.3	64.8	1.347020717	-0.9042947788	
1479	349.5	476.5	NI	1076	NI	2971	4.8	17/11/14	17/10/16	700	169.32	54.2	1.91	pesado	Medium_high	Rumen	produto	Rumen_produto	6514	2932	6.98	480	61.65	18.9	8.1	63.7	-0.9264393716	0.7554932049	
1480	268.5	393	NI	942	NI	67	6.5	17/11/14	16/11/16	730	195.1	70.62	2	leve	High	Rumen	vencional	Rumen_vencional	4915	1029	4.86	311	38.4	17.8	6.7	67	0.1864524749	0.2529061863	
1481	350	459.5	NI	649	NI	206	5.3	17/11/14	16/11/16	730	176	56.32	2	pesado	Medium_high	Rumen	vencional	Rumen_vencional	4756	438	6.86	247	39	22.8	7.9	53.8	-2.101582606	-0.4912241471	
1485	340	487.5	NI	1074	NI	2938	8.8	24/11/14	17/10/16	693	133.64	40.2	1.91	pesado	Low	Rumen	produto	Rumen_produto	7845	1189	9.18	421	45.6	22.8	9.3	71.9	2.950959543	0.6284147098	
1493	338	448	NI	955	NI	609	6.7	04/12/14	17/10/16	683	141.27	42.87	1.84	pesado	Low	Rumen	vencional	Rumen_vencional	5112	9166	6.62	265	41.6	19.4	7.3	73	0.2121130039	-0.6195475014	
1494	262.5	370.5	NI	829	NI	2938	7.8	04/12/14	17/10/16	683	152	30.22	1.84	leve	Low	Rumen	produto	Rumen_produto	11237	9287	6.82	424	44.5	20.2	10.5	56.5	0.8229337102	0.07204717186	
1495	287	481.5	NI	1047	NI	2951	4.3	04/12/14	16/11/16	713	193.65	49.55	1.91	leve	Medium_high	Rumen	produto	Rumen_produto	5651	731	7.19	619	49	19.1	9.1	83.1	0.2336305252	1.703776652	
