#TAXONOMY	Domain	Phylum	Class	Order	Family	Genus
ASV_4832	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
ASV_21697	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
ASV_7405	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_4623	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_8705	Bacteria	Kiritimatiellaeota	Kiritimatiellae			
ASV_7746	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_8988	Bacteria	Kiritimatiellaeota	Kiritimatiellae			
ASV_10046	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_8935	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Papillibacter
ASV_5509	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_23103	Bacteria	Firmicutes	Clostridia	Clostridiales	XI	Sedimentibacter
ASV_3469	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales		
ASV_11996	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Saccharofermentans
ASV_16758	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_3623	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter
ASV_10672	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_8915	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_22822	Bacteria	Firmicutes	Clostridia	Clostridiales		
ASV_8778	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group
ASV_11150	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae UCG-004
ASV_23233	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_7993	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_1189	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_22602	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_990	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
ASV_12292	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
ASV_1676	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_12030	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
ASV_3066	Bacteria	Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae	Anaeroplasma
ASV_3322	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_2259	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_1533	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_19419	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
ASV_5918	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
ASV_3142	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriales Incertae Sedis	
ASV_23039	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
ASV_3117	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-004
ASV_15618	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-001
ASV_12905	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
ASV_16884	Bacteria	Firmicutes	Clostridia	Clostridiales		
ASV_15783	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
ASV_11948	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	
ASV_4379	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales		
ASV_3094	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group
ASV_22642	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Eubacterium
ASV_7825	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_3681	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group
ASV_13139	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group
ASV_7488	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia
ASV_12608	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Slackia
ASV_7194	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group
ASV_23065	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_7016	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto
ASV_21434	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_10147	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Sphaerochaeta
ASV_12776	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_13576	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinimonas
ASV_9861	Bacteria	Tenericutes	Mollicutes	Mollicutes RF39		
ASV_15246	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Ruminobacter
ASV_15721	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014
ASV_6229	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_8441	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_9834	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	
ASV_7399	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group
ASV_15844	Bacteria	Tenericutes	Mollicutes	Mollicutes RF39		
ASV_19149	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_7370	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_18964	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae ND3007 group
ASV_19567	Bacteria	Firmicutes	Clostridia	Clostridiales		
ASV_2011	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005
ASV_9014	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group
ASV_5965	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_4120	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005
ASV_10914	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	
ASV_12328	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Eubacterium
ASV_17544	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Moryella
ASV_13351	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_17465	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
ASV_335	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group
ASV_16042	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Selenomonas
ASV_22759	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
ASV_10970	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes
ASV_14856	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus
ASV_22909	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetitomaculum
ASV_983	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella
ASV_22098	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
ASV_5465	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales		
ASV_11190	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas
ASV_16827	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_8929	Bacteria	Firmicutes	Clostridia	Clostridiales	XI	Sedimentibacter
ASV_4830	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_10559	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014
ASV_18519	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_2319	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
ASV_6665	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
ASV_4377	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae UCG-003
ASV_6340	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	
ASV_10973	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group
ASV_18641	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_4849	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
ASV_1917	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	
ASV_7031	Bacteria	Firmicutes	Clostridia	Clostridiales		
ASV_10925	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_19603	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_8352	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae UCG-004
ASV_8349	Bacteria	Firmicutes				
ASV_11896	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
ASV_4181	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Succiniclasticum
ASV_9590	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-003
ASV_10124	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
ASV_7938	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales		
ASV_19986	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales		
ASV_11045	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group
ASV_2566	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinivibrio
ASV_3202	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-001
ASV_4712	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_4249	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
ASV_9929	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales RF16 group	
ASV_11247	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_14863	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_11692	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
ASV_5585	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Eubacterium
ASV_13556	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group
ASV_10482	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_642	Bacteria	Elusimicrobia	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Elusimicrobium
ASV_6462	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_7626	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_5748	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group
ASV_8053	Bacteria	Kiritimatiellaeota	Kiritimatiellae			
ASV_19634	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_19719	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_4949	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-001
ASV_2619	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group
ASV_862	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_16031	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Cellulosilyticum
ASV_16962	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella
ASV_17513	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales		
ASV_9211	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
ASV_416	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae ND3007 group
ASV_7131	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	
ASV_20483	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_2593	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella
ASV_8104	Bacteria	Firmicutes	Clostridia	Clostridiales		
ASV_11346	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_872	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	
ASV_10484	Bacteria	Tenericutes	Mollicutes	Mollicutes RF39		
ASV_136	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ASV_11137	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
ASV_3789	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] eligens group
ASV_4904	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_12484	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group
ASV_15031	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
ASV_3657	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus
ASV_15713	Bacteria	Firmicutes	Clostridia	Clostridiales		
ASV_7824	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium
ASV_19033	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_4583	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetitomaculum
ASV_7346	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
ASV_8609	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinivibrio
ASV_426	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes
ASV_1555	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_13405	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_8927	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales		
ASV_18713	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales		
ASV_12160	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales		
ASV_21388	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_15736	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium
ASV_3875	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-001
ASV_20388	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-001
ASV_12965	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_2148	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group
ASV_9472	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	
ASV_6373	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Eubacterium
ASV_4057	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Eubacterium
ASV_2840	Bacteria	Kiritimatiellaeota	Kiritimatiellae			
ASV_14593	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium
ASV_11930	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
ASV_2131	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_5756	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
ASV_10974	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
ASV_19778	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia
ASV_20206	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Intestinibacter
ASV_2589	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
ASV_14579	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales BS11 	
ASV_14301	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	
ASV_3082	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_15203	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014
ASV_18825	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ASV_3456	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-013
ASV_629	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ASV_7697	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014
ASV_22297	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-001
ASV_19838	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_9625	Bacteria	Firmicutes	Clostridia	Clostridiales		
ASV_18559	Bacteria	Firmicutes	Clostridia	Clostridiales		
ASV_12560	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus
ASV_14271	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales		
ASV_11224	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014
ASV_11908	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_8682	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium
ASV_3362	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-001
ASV_16164	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae Ga6A1 group
ASV_3303	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-003
ASV_6309	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK3A20 group
ASV_14137	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium
ASV_17691	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_6588	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
ASV_655	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group
ASV_18305	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-013
ASV_11439	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014
ASV_16624	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_18992	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Moryella
ASV_2294	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_19580	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_18131	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-003
ASV_4065	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales RF16 group	
ASV_22511	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella
ASV_5392	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetitomaculum
ASV_6113	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_11730	Bacteria	Kiritimatiellaeota	Kiritimatiellae			
ASV_18174	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_17454	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Selenomonas
ASV_16740	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_806	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_8326	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Mailhella
ASV_8557	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales		
ASV_4178	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-003
ASV_11735	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
ASV_18614	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014
ASV_4881	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_18885	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Papillibacter
ASV_9693	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales RF16 group	
ASV_8492	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
ASV_3918	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_2015	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-004
ASV_10060	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_3354	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-013
ASV_23054	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
ASV_6998	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Selenomonas
ASV_7282	Bacteria	Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae	Anaeroplasma
ASV_17688	Bacteria	Firmicutes	Clostridia	Clostridiales		
ASV_21392	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_23000	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_13277	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales		
ASV_22818	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
ASV_23254	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
ASV_4851	Bacteria	Firmicutes	Clostridia	Clostridiales	XIII	[Eubacterium] brachy group
ASV_814	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_12715	Bacteria	Tenericutes	Mollicutes	EMP-G18Mollicutes bacterium Mollicutes bacterium	D_6__uncultured Mollicutes bacterium	
ASV_6684	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014
ASV_9232	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae AC2044 group
ASV_11132	Bacteria	Firmicutes	Clostridia	Clostridiales		
ASV_12948	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Eubacterium
ASV_8928	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_21456	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_7190	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group
ASV_3045	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae UCG-004
ASV_18883	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae ND3007 group
ASV_21771	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group
ASV_11505	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_15712	Bacteria	Firmicutes	Clostridia	Clostridiales	XIII	XIII UCG-001
ASV_19678	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
ASV_10774	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus
ASV_5859	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Selenomonas
ASV_4875	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
ASV_12734	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
