#TAXONOMY	Domain	Phylum	Class	Order	Family	Genus
ASV_9531	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales		
ASV_19486	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Succiniclasticum
ASV_6486	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae UCG-004
ASV_13893	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	
ASV_15232	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Flexilinea
ASV_12612	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales		
ASV_13073	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_7601	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Eubacterium
ASV_4914	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_7788	Bacteria	Lentisphaerae	Oligosphaeria	Oligosphaerales	Oligosphaeraceae	Z20
ASV_2535	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005
ASV_13021	Bacteria	Firmicutes	Clostridia	Clostridiales		
ASV_18940	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
ASV_2186	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group
ASV_18021	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	CAG-352
ASV_9411	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_13768	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_4480	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
ASV_11713	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_5667	Bacteria	Firmicutes	Clostridia	Clostridiales		
ASV_22419	Bacteria	Firmicutes	Clostridia	Clostridiales	XIII	Anaerovorax
ASV_14162	Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	Victivallaceae	
ASV_12628	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_7455	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-001
ASV_19376	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_10089	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_7440	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium
ASV_14372	Bacteria	Firmicutes	Clostridia	Clostridiales	XIII	Eubacterium
ASV_15180	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group
ASV_10711	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_19994	Bacteria	Firmicutes	Clostridia	Clostridiales	XIII	Eubacterium
ASV_17530	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_2110	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium0
ASV_2068	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_19448	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_4437	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Flexilinea
ASV_11743	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-005
ASV_8041	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Eubacterium
ASV_3039	Bacteria	Firmicutes	Clostridia	Clostridiales		
ASV_22450	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_5949	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	p-1088-a5 
ASV_11381	Bacteria	Firmicutes	Clostridia	Clostridiales		
ASV_12078	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	
ASV_1631	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_8637	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales		
ASV_23346	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_13898	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ASV_952	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
ASV_6586	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
ASV_6262	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_19205	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
ASV_484	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_9394	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
ASV_2755	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium
ASV_6850	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Eubacterium
ASV_10906	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-003
ASV_8408	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
ASV_6771	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_5804	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group
ASV_1796	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae Ga6A1 group
ASV_3446	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-001
ASV_1158	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group
ASV_3914	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae FCS020 group
ASV_1311	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
ASV_15895	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinivibrio
ASV_10706	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_14487	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbus
ASV_17766	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_22250	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_5554	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_5355	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Syntrophococcus
ASV_10248	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_12644	Bacteria	Tenericutes	Mollicutes	Mollicutes RF39		
ASV_15594	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	
ASV_1663	Bacteria	Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae	Anaeroplasma
ASV_10634	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
ASV_5552	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales		
ASV_17894	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Eubacterium
ASV_21308	Bacteria	Lentisphaerae	Oligosphaeria	Oligosphaerales	Oligosphaeraceae	Z20
ASV_14591	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Candidatus Saccharimonas
ASV_16733	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	
ASV_6981	Bacteria	Lentisphaerae	Oligosphaeria	Oligosphaerales	Oligosphaeraceae	Z20
ASV_13966	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group
ASV_6627	Bacteria	Kiritimatiellaeota	Kiritimatiellae			
ASV_8282	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_5419	Bacteria	Firmicutes	Clostridia	Clostridiales		
ASV_10507	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] ruminantium group
ASV_22374	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group
ASV_14090	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 
ASV_21821	Bacteria	Firmicutes	Bacilli	Bacillales		
ASV_22750	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales		
ASV_14515	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales		
ASV_5677	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	CPla-4 termite group
ASV_7891	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	p-1088-a5 
ASV_11836	Bacteria	Firmicutes	Clostridia	Clostridiales	XIII	Anaerovorax
ASV_6165	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-001
ASV_2480	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	
ASV_5768	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	p-2534-18B5 	
ASV_20201	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group
ASV_5044	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto
ASV_14298	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010
ASV_7651	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014
ASV_20405	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	
ASV_22104	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-004
